$编号	名字	图片	资源下载地址	价格	抓这个娃娃给玩家的积分	概率分子	概率分母	付费概率	模型文件	材质				碰撞体	缩放	质量	摩擦力	滚动摩擦力	撞击摩擦力	线性阻尼	角阻尼	模型个数	抽奖游戏类型	游戏场次
179	围巾玉桂狗(代抓)	http://zww.ooxxp.com/zwwimg/xs9.png	http://zww.ooxxp.com/dolls/output/179/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
180	围巾布丁狗(代抓)	http://zww.ooxxp.com/zwwimg/xs10.png	http://zww.ooxxp.com/dolls/output/180/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
181	泳装美少女手办-巡音流歌(代抓)	http://zww.ooxxp.com/zwwimg/xs11.png	http://zww.ooxxp.com/dolls/output/181/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
182	熊本熊(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs12.png	http://zww.ooxxp.com/dolls/output/182/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
183	双子星独角兽(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs13.png	http://zww.ooxxp.com/dolls/output/183/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
184	粉嫩KT旅行牙刷套装(代抓)	http://zww.ooxxp.com/zwwimg/xs14.png	http://zww.ooxxp.com/dolls/output/184/	19	38	1	200	12,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
185	维尼手机座(代抓)	http://zww.ooxxp.com/zwwimg/xs15.png	http://zww.ooxxp.com/dolls/output/185/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
186	趴卧懒蛋蛋(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs16.png	http://zww.ooxxp.com/dolls/output/186/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
187	变装小黄人摆件(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs17.png	http://zww.ooxxp.com/dolls/output/187/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
188	正版网红玻尿酸鸭(代抓)	http://zww.ooxxp.com/zwwimg/xs18.png	http://zww.ooxxp.com/dolls/output/188/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
189	萌萌哒小蘑菇(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs19.png	http://zww.ooxxp.com/dolls/output/189/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
190	粉红豹束发带(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs20.png	http://zww.ooxxp.com/dolls/output/190/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
191	柴豆兄弟挂件(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs21.png	http://zww.ooxxp.com/dolls/output/191/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
192	小黄人美国队长(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs22.png	http://zww.ooxxp.com/dolls/output/192/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
193	神烦狗秋田(代抓)	http://zww.ooxxp.com/zwwimg/xs23.png	http://zww.ooxxp.com/dolls/output/193/	19	38	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
194	咱们裸熊站姿公仔(随机发货)	http://zww.ooxxp.com/zwwimg/xs24.png	http://zww.ooxxp.com/dolls/output/194/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
195	七彩小长颈鹿(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs25.png	http://zww.ooxxp.com/dolls/output/195/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
196	超萌小怪物袜子(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs26.png	http://zww.ooxxp.com/dolls/output/196/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
197	花王乐而雅日用姨妈巾(代抓)	http://zww.ooxxp.com/zwwimg/xs27.png	http://zww.ooxxp.com/dolls/output/197/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
198	曼秀雷敦亮肤净透洁面乳(代抓)	http://zww.ooxxp.com/zwwimg/xs28.png	http://zww.ooxxp.com/dolls/output/198/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
199	曼秀雷敦水嫩净透洁面乳(代抓)	http://zww.ooxxp.com/zwwimg/xs29.png	http://zww.ooxxp.com/dolls/output/199/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
200	曼秀雷敦水薄清爽防晒露(代抓)	http://zww.ooxxp.com/zwwimg/xs30.png	http://zww.ooxxp.com/dolls/output/200/	39	78	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
201	新碧户外骄阳防晒喷雾(代抓)	http://zww.ooxxp.com/zwwimg/xs31.png	http://zww.ooxxp.com/dolls/output/201/	49	98	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
202	新碧双重保湿水感防晒露(代抓)	http://zww.ooxxp.com/zwwimg/xs32.png	http://zww.ooxxp.com/dolls/output/202/	49	98	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
203	韩版时尚潮流围巾长款(代抓)	http://zww.ooxxp.com/zwwimg/xs33.png	http://zww.ooxxp.com/dolls/output/203/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
204	美即芦荟洋甘菊补水美白面膜(代抓)	http://zww.ooxxp.com/zwwimg/xs34.png	http://zww.ooxxp.com/dolls/output/204/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
205	美宝莲绝色持久唇彩(代抓)	http://zww.ooxxp.com/zwwimg/xs35.png	http://zww.ooxxp.com/dolls/output/205/	49	98	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
206	卡姿兰眼影盘大地色哑光裸妆(代抓)	http://zww.ooxxp.com/zwwimg/xs36.png	http://zww.ooxxp.com/dolls/output/206/	49	98	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
207	天堂两用折叠伞(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs37.png	http://zww.ooxxp.com/dolls/output/207/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
208	熊出没按摩捶(代抓)	http://zww.ooxxp.com/zwwimg/xs38.png	http://zww.ooxxp.com/dolls/output/208/	9	18	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
209	国宝熊猫公仔(代抓)	http://zww.ooxxp.com/zwwimg/xs39.png	http://zww.ooxxp.com/dolls/output/209/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
210	catsre指甲油(人鱼姬色)(代抓)	http://zww.ooxxp.com/zwwimg/xs40.png	http://zww.ooxxp.com/dolls/output/210/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
211	史努比创意水杯(代抓)	http://zww.ooxxp.com/zwwimg/xs41.png	http://zww.ooxxp.com/dolls/output/211/	19	38	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
212	COCOVEL香氛身体乳(代抓)	http://zww.ooxxp.com/zwwimg/xs42.png	http://zww.ooxxp.com/dolls/output/212/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
213	泌洋纳米喷雾补水神器(代抓)	http://zww.ooxxp.com/zwwimg/xs43.png	http://zww.ooxxp.com/dolls/output/213/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
214	韩国耳环耳钉套装组合(代抓)	http://zww.ooxxp.com/zwwimg/xs44.png	http://zww.ooxxp.com/dolls/output/214/	29	58	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
215	香水女士【4瓶礼盒套装】(代抓)	http://zww.ooxxp.com/zwwimg/xs45.png	http://zww.ooxxp.com/dolls/output/215/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
216	开年红包(抓中在娃娃炼金术中兑红包)	http://zww.ooxxp.com/zwwimg/xs46.png	http://zww.ooxxp.com/dolls/output/216/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
217	开年红包(抓中在娃娃炼金术中兑红包)	http://zww.ooxxp.com/zwwimg/xs47.png	http://zww.ooxxp.com/dolls/output/217/	49	98	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
218	电信充值卡2元(可兑换240积分)(代抓)	http://zww.ooxxp.com/zwwimg/xs48.png	http://zww.ooxxp.com/dolls/output/218/	9	18	1	200	1,5	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
219	移动充值卡3元(可兑换240积分)(代抓)	http://zww.ooxxp.com/zwwimg/xs49.png	http://zww.ooxxp.com/dolls/output/219/	9	18	1	200	1,5	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
220	联通充值卡3元(可兑换240积分)(代抓)	http://zww.ooxxp.com/zwwimg/xs50.png	http://zww.ooxxp.com/dolls/output/220/	9	18	1	200	1,5	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
221	京东E卡50元(可兑换5000积分)(代抓)	http://zww.ooxxp.com/zwwimg/xs51.png	http://zww.ooxxp.com/dolls/output/221/	19	38	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
222	京东E卡100元(可兑换10000积分)(代抓)	http://zww.ooxxp.com/zwwimg/xs52.png	http://zww.ooxxp.com/dolls/output/222/	29	58	1	200	4,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
223	line系列电吹风(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs53.png	http://zww.ooxxp.com/dolls/output/223/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
224	迷你直发器(代抓)	http://zww.ooxxp.com/zwwimg/xs54.png	http://zww.ooxxp.com/dolls/output/224/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
225	阿狸无线蓝牙音箱(代抓)	http://zww.ooxxp.com/zwwimg/xs55.png	http://zww.ooxxp.com/dolls/output/225/	49	98	1	200	3,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
226	化妆刷工具套装-KT(代抓)	http://zww.ooxxp.com/zwwimg/xs56.png	http://zww.ooxxp.com/dolls/output/226/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
227	布朗熊系列雨伞(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs57.png	http://zww.ooxxp.com/dolls/output/227/	29	58	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
228	Line系列U型枕(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs58.png	http://zww.ooxxp.com/dolls/output/228/	29	58	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
229	同道大叔狮子座毛绒抱枕(代抓)	http://zww.ooxxp.com/zwwimg/xs59.png	http://zww.ooxxp.com/dolls/output/229/	49	98	1	200	4,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
230	同道大叔摩羯座按摩锤(代抓)	http://zww.ooxxp.com/zwwimg/xs60.png	http://zww.ooxxp.com/dolls/output/230/	29	58	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
231	蓝色杯子猫(随机三色)	http://zww.ooxxp.com/zwwimg/xs61.png	http://zww.ooxxp.com/dolls/output/231/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
232	蜘蛛侠(代抓)	http://zww.ooxxp.com/zwwimg/xs62.png	http://zww.ooxxp.com/dolls/output/232/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
233	metoo提拉米兔(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs63.png	http://zww.ooxxp.com/dolls/output/233/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
234	背书包的贝肯熊(代抓)	http://zww.ooxxp.com/zwwimg/xs64.png	http://zww.ooxxp.com/dolls/output/234/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
235	布丁狗化妆包(代抓)	http://zww.ooxxp.com/zwwimg/xs65.png	http://zww.ooxxp.com/dolls/output/235/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
236	Ufufy系列公仔(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs66.png	http://zww.ooxxp.com/dolls/output/236/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
237	太空棉小鲸鱼(随机发货)(代抓)	http://zww.ooxxp.com/zwwimg/xs67.png	http://zww.ooxxp.com/dolls/output/237/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
238	1元抓抓乐(1.1米轻松熊)	http://zww.ooxxp.com/1ydb/db1.png	http://zww.ooxxp.com/dolls/output/238/	10	20	1	200	1,200	17.c3b	17.mtl	0.92,0.92,0.92	0.45,0.45,0.45	0.67,0.67,0.67	phy_17_collider	0.043	10	30	15	1	0.3	0.3	1		
239	冈本避孕套-激薄(代抓)	http://zww.ooxxp.com/zwwimg/xs68.png	http://zww.ooxxp.com/dolls/output/239/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
240	冈本避孕套-无感透薄(代抓)	http://zww.ooxxp.com/zwwimg/xs69.png	http://zww.ooxxp.com/dolls/output/240/	9	18	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
241	小老板脆紫菜即食(代抓)（随机发）	http://zww.ooxxp.com/zwwimg/xs70.png	http://zww.ooxxp.com/dolls/output/241/	9	18	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
242	汤姆农场扁桃(代抓)	http://zww.ooxxp.com/zwwimg/xs71.png	http://zww.ooxxp.com/dolls/output/242/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
243	越南榙榙7日芒果综合果干(代抓)	http://zww.ooxxp.com/zwwimg/xs72.png	http://zww.ooxxp.com/dolls/output/243/	19	38	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
244	大白兔奶糖礼盒(代抓)	http://zww.ooxxp.com/zwwimg/xs73.png	http://zww.ooxxp.com/dolls/output/244/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
245	印尼进口丽芝士威化饼(代抓)	http://zww.ooxxp.com/zwwimg/xs74.png	http://zww.ooxxp.com/dolls/output/245/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
246	小兮兮 九宫曲奇饼干礼盒(代抓)	http://zww.ooxxp.com/zwwimg/xs75.png	http://zww.ooxxp.com/dolls/output/246/	9	18	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
247	 清Q嘴草本含片（压片糖果）(代抓)	http://zww.ooxxp.com/zwwimg/xs76.png	http://zww.ooxxp.com/dolls/output/247/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
248	金龙鱼葵花籽食用调和油5L(代抓)	http://zww.ooxxp.com/zwwimg/xs77.png	http://zww.ooxxp.com/dolls/output/248/	29	58	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
249	马来西亚蓝山风味速溶咖啡(代抓)	http://zww.ooxxp.com/zwwimg/xs78.png	http://zww.ooxxp.com/dolls/output/249/	29	58	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
250	好想你红枣夹核桃夹心枣(代抓)	http://zww.ooxxp.com/zwwimg/xs79.png	http://zww.ooxxp.com/dolls/output/250/	19	38	1	200	5,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
251	三只松鼠_猪肉脯(代抓)	http://zww.ooxxp.com/zwwimg/xs80.png	http://zww.ooxxp.com/dolls/output/251/	19	38	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
252	力士薰衣草精油沐浴乳(代抓)	http://zww.ooxxp.com/zwwimg/xs81.png	http://zww.ooxxp.com/dolls/output/252/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
253	爱茉莉洗发水(代抓)	http://zww.ooxxp.com/zwwimg/xs82.png	http://zww.ooxxp.com/dolls/output/253/	29	58	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
254	1元抓抓乐(58元红包)	http://zww.ooxxp.com/zwwimg/xs47.png	http://zww.ooxxp.com/dolls/output/254/	10	20	1	200	1,200	17.c3b	17.mtl	0.92,0.92,0.92	0.45,0.45,0.45	0.67,0.67,0.67	phy_17_collider	0.043	10	30	15	1	0.3	0.3	1		
255	和服HelloKitty	http://zww.ooxxp.com/zwwimg/qm101.png	http://zww.ooxxp.com/dolls/output/255/	9	18	1	200	10,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
256	大熊旅行牙刷组(代抓)	http://zww.ooxxp.com/zwwimg/qm102.png	http://zww.ooxxp.com/dolls/output/256/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
257	百草味巴旦木仁(代抓)	http://zww.ooxxp.com/zwwimg/qm103.png	http://zww.ooxxp.com/dolls/output/257/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
258	小猪佩奇奶片糖手表(代抓)	http://zww.ooxxp.com/zwwimg/qm104.png	http://zww.ooxxp.com/dolls/output/258/	9	18	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
259	单身狗薯片(代抓)	http://zww.ooxxp.com/zwwimg/qm105.png	http://zww.ooxxp.com/dolls/output/259/	9	18	1	200	9,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
260	卫龙亲嘴烧辣条(代抓)	http://zww.ooxxp.com/zwwimg/qm106.png	http://zww.ooxxp.com/dolls/output/260/	9	18	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
261	充电迷你风扇(代抓)	http://zww.ooxxp.com/zwwimg/qm107.png	http://zww.ooxxp.com/dolls/output/261/	9	18	1	200	6,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
262	同道大叔防蚊手环(代抓)	http://zww.ooxxp.com/zwwimg/qm108.png	http://zww.ooxxp.com/dolls/output/262/	9	18	1	200	8,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
263	威迪瑞户外折叠椅(代抓)	http://zww.ooxxp.com/zwwimg/qm109.png	http://zww.ooxxp.com/dolls/output/263/	19	38	1	200	7,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
264	公爵龙野餐垫(代抓)	http://zww.ooxxp.com/zwwimg/qm110.png	http://zww.ooxxp.com/dolls/output/264/	19	38	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
265	隆力奇花露水(两瓶)(代抓)	http://zww.ooxxp.com/zwwimg/qm111.png	http://zww.ooxxp.com/dolls/output/265/	19	38	1	200	11,200	8.c3b	8.mtl	0.85,0.85,0.85	0.4,0.4,0.4	0.95,0.95,0.95	phy_8_collider	0.041	10	30	15	1	0.3	0.3			
